"Time (s)","Pressure (hPa)"
4.125893078E2,9.929752808E2
4.126293038E2,9.929742432E2
4.126693009E2,9.929738159E2
4.127093054E2,9.929721680E2
4.127493045E2,9.929695435E2
4.127893059E2,9.929681396E2
4.128293063E2,9.929666748E2
4.128693064E2,9.929661255E2
4.129093038E2,9.929641724E2
4.129493025E2,9.929620972E2
4.129893106E2,9.929617310E2
4.130293014E2,9.929597778E2
4.130693116E2,9.929565430E2
4.131093086E2,9.929565430E2
4.131493053E2,9.929576416E2
4.131893152E2,9.929583130E2
4.132293097E2,9.929598389E2
4.132693094E2,9.929606323E2
4.133093063E2,9.929600830E2
4.133493006E2,9.929602661E2
4.133893093E2,9.929602661E2
4.134293030E2,9.929606323E2
4.134693114E2,9.929619141E2
4.135093102E2,9.929627075E2
4.135493116E2,9.929625854E2
4.135893062E2,9.929603271E2
4.136293022E2,9.929583130E2
4.136692943E2,9.929578247E2
4.137093053E2,9.929559326E2
4.137493091E2,9.929534912E2
4.137893074E2,9.929553833E2
4.138293061E2,9.929567261E2
4.138693092E2,9.929544067E2
4.139093061E2,9.929523315E2
4.139493116E2,9.929511719E2
4.139893110E2,9.929494019E2
4.140292997E2,9.929461670E2
4.140693103E2,9.929443359E2
4.141093090E2,9.929448242E2
4.141493094E2,9.929434814E2
4.141893123E2,9.929411011E2
4.142293089E2,9.929405518E2
4.142693089E2,9.929415283E2
4.143093074E2,9.929407349E2
4.143493112E2,9.929412231E2
4.143893058E2,9.929401245E2
4.144293112E2,9.929399414E2
4.144693101E2,9.929404297E2
4.145093079E2,9.929407959E2
4.145493092E2,9.929409180E2
4.145893092E2,9.929410400E2
4.146293113E2,9.929415283E2
4.146692946E2,9.929417725E2
4.147092982E2,9.929407349E2
4.147493064E2,9.929394531E2
4.147893012E2,9.929398193E2
4.148293080E2,9.929371338E2
4.148693057E2,9.929323120E2
4.149093069E2,9.929309692E2
4.149493084E2,9.929288330E2
4.149893027E2,9.929266357E2
4.150293083E2,9.929274292E2
4.150693040E2,9.929285278E2
4.151093093E2,9.929299927E2
4.151493090E2,9.929335938E2
4.151893056E2,9.929358521E2
4.152293131E2,9.929353638E2
4.152693079E2,9.929354248E2
4.153093104E2,9.929350586E2
4.153493085E2,9.929323120E2
4.153893041E2,9.929309692E2
4.154293148E2,9.929311523E2
4.154693066E2,9.929309692E2
4.155093076E2,9.929291992E2
4.155493081E2,9.929288940E2
4.155893085E2,9.929285889E2
4.156293103E2,9.929274292E2
4.156693027E2,9.929270630E2
4.157093149E2,9.929259033E2
4.157493043E2,9.929237061E2
4.157893103E2,9.929210205E2
4.158293065E2,9.929197998E2
4.158693126E2,9.929191284E2
4.159093112E2,9.929186401E2
4.159493053E2,9.929173584E2
4.159893049E2,9.929161377E2
4.160293064E2,9.929147339E2
4.160692996E2,9.929124756E2
4.161093093E2,9.929096680E2
4.161493025E2,9.929085083E2
4.161893088E2,9.929072266E2
4.162293081E2,9.929056396E2
4.162693083E2,9.929059448E2
4.163093050E2,9.929078369E2
4.163493035E2,9.929108276E2
4.163893114E2,9.929133911E2
4.164293084E2,9.929142456E2
4.164693064E2,9.929135742E2
4.165093099E2,9.929130859E2
4.165493071E2,9.929100342E2
4.165893096E2,9.929067383E2
4.166293074E2,9.929047852E2
4.166693039E2,9.929014893E2
4.167093084E2,9.928986206E2
4.167493012E2,9.928981323E2
4.167893103E2,9.928991089E2
4.168293056E2,9.928995361E2
4.168693100E2,9.929010620E2
4.169093119E2,9.929031982E2
4.169493088E2,9.929034424E2
4.169893147E2,9.929014893E2
4.170293045E2,9.928995972E2
4.170693128E2,9.928972778E2
4.171093086E2,9.928934326E2
4.171493095E2,9.928891602E2
4.171893112E2,9.928878174E2
4.172293079E2,9.928889771E2
4.172693096E2,9.928905029E2
4.173093095E2,9.928911133E2
4.173493110E2,9.928937378E2
4.173893080E2,9.928952026E2
4.174293009E2,9.928950195E2
4.174693160E2,9.928934326E2
4.175093090E2,9.928927002E2
4.175493123E2,9.928906250E2
4.175893100E2,9.928870239E2
4.176293018E2,9.928839111E2
4.176692979E2,9.928825073E2
4.177093066E2,9.928816528E2
4.177493105E2,9.928826904E2
4.177893048E2,9.928846436E2
4.178293070E2,9.928855591E2
4.178693090E2,9.928848877E2
4.179093048E2,9.928848877E2
4.179493106E2,9.928854370E2
